team_name,team_id,team_country,team_league
Stuttgarter Kickers,71,Germany,2. Bundesliga
SC Freiburg,60,Germany,2. Bundesliga
FC Hansa Rostock,30,Germany,2. Bundesliga
Hertha BSC,44,Germany,2. Bundesliga
Eintracht Braunschweig,23,Germany,2. Bundesliga
Wuppertaler SV,299,Germany,2. Bundesliga
VfB Leipzig (- 2004),10848,Germany,2. Bundesliga
FC 08 Homburg,459,Germany,2. Bundesliga
FC Remscheid,662,Germany,2. Bundesliga
1.FSV Mainz 05,39,Germany,2. Bundesliga
VfB Oldenburg,166,Germany,2. Bundesliga
SV Spittal/Drau,414,Austria,2. Liga
CD Numancia,2296,Spain,2ª B - Grupo II
RZ Deportivo Aragón,8384,Spain,2ª B - Grupo II
CD Logroñés B (- 2000),64888,Spain,2ª B - Grupo II
CE L'Hospitalet,9477,Spain,2ª B - Grupo III
Real Murcia CF,171,Spain,2ª B - Grupo III
UD Las Palmas,472,Spain,2ª B - Grupo IV
Real Balompédica Linense,12605,Spain,2ª B - Grupo IV
Sevilla Atlético,8519,Spain,2ª B - Grupo IV
Batman Petrolspor,3211,Turkey,3.Lig Grup 1
Pazarspor,9197,Turkey,3.Lig Grup 2
Bayburtspor,37946,Turkey,3.Lig Grup 2
Erzincanspor,12345,Turkey,3.Lig Grup 2
Bulancakspor,14998,Turkey,3.Lig Grup 2
Sekerspor,5743,Turkey,3.Lig Grup 4
Bayern Munich,27,Germany,Bundesliga
Eintracht Frankfurt,24,Germany,Bundesliga
VfB Stuttgart,79,Germany,Bundesliga
FC Wacker Innsbruck,2444,Austria,Bundesliga
1.FC Kaiserslautern,2,Germany,Bundesliga
Borussia Dortmund,16,Germany,Bundesliga
Hamburger SV,41,Germany,Bundesliga
FC Schalke 04,33,Germany,Bundesliga
Karlsruher SC,48,Germany,Bundesliga
Bayer 04 Leverkusen,15,Germany,Bundesliga
SG Wattenscheid 09,97,Germany,Bundesliga
SV Werder Bremen,86,Germany,Bundesliga
1.FC Nuremberg,4,Germany,Bundesliga
SG Dynamo Dresden,129,Germany,Bundesliga
Rapid Vienna,170,Austria,Bundesliga
1. FC Köln,3,Germany,Bundesliga
Bayer 05 Uerdingen,95,Germany,Bundesliga
1.FC Saarbrücken,1,Germany,Bundesliga
VfL Bochum,80,Germany,Bundesliga
Borussia Mönchengladbach,18,Germany,Bundesliga
FC La Chaux-de-Fonds,2055,Switzerland,Challenge League
Sheffield United,350,England,Championship
Hutnik Krakow,530,Poland,Ekstraklasa
Zaglebie Lubin,168,Poland,Ekstraklasa
Pogon Szczecin,324,Poland,Ekstraklasa
Siarka Tarnobrzeg,711,Poland,Ekstraklasa
Jagiellonia Bialystok,2300,Poland,Ekstraklasa
GKS Katowice,6456,Poland,Ekstraklasa
Lech Poznan,238,Poland,Ekstraklasa
Zawisza Bydgoszcz,7153,Poland,Ekstraklasa
IK Start,267,Norway,Eliteserien
Rosenborg BK,195,Norway,Eliteserien
Lillestrøm SK,353,Norway,Eliteserien
Feyenoord Rotterdam,234,Netherlands,Eredivisie
Ajax Amsterdam,610,Netherlands,Eredivisie
PSV Eindhoven,383,Netherlands,Eredivisie
Twente Enschede FC,317,Netherlands,Eredivisie
FC Den Bosch,404,Netherlands,Eredivisie
Fortuna Sittard,385,Netherlands,Eredivisie
FC Dordrecht,1455,Netherlands,Eredivisie
RKC Waalwijk,235,Netherlands,Eredivisie
Roda JC Kerkrade,192,Netherlands,Eredivisie
SC Cambuur-Leeuwarden,133,Netherlands,Eredivisie
Sparta Rotterdam,468,Netherlands,Eredivisie
MVV Maastricht,384,Netherlands,Eredivisie
Vitesse Arnhem,499,Netherlands,Eredivisie
FC Volendam,724,Netherlands,Eredivisie
Dordrecht'90,1455,Netherlands,Eredivisie
FC Utrecht,200,Netherlands,Eredivisie
FC Groningen,202,Netherlands,Eredivisie
RSC Anderlecht,58,Belgium,Jupiler Pro League
Standard Liège,3057,Belgium,Jupiler Pro League
Beerschot AC,566,Belgium,Jupiler Pro League
KV Mechelen,354,Belgium,Jupiler Pro League
KSK Beveren (- 2010),1073,Belgium,Jupiler Pro League
Lierse SK (- 2018),204,Belgium,Jupiler Pro League
RWD Molenbeek (- 2002),2973,Belgium,Jupiler Pro League
RFC Lüttich,3159,Belgium,Jupiler Pro League
Royal Antwerp FC,1096,Belgium,Jupiler Pro League
Boom FC,57299,Belgium,Jupiler Pro League
KSV Waregem (- 2001),2456,Belgium,Jupiler Pro League
KSC Lokeren (- 2020),498,Belgium,Jupiler Pro League
RSC Charleroi,172,Belgium,Jupiler Pro League
KAA Gent,157,Belgium,Jupiler Pro League
Club Brugge KV,2282,Belgium,Jupiler Pro League
Cercle Brugge ,520,Belgium,Jupiler Pro League
Germinal Ekeren,566,Belgium,Jupiler Pro League
RC Liège,3159,Belgium,Jupiler Pro League
Seongnam FC,3610,"Korea, South",K League 1
FC Eindhoven,3892,Netherlands,Keuken Kampioen Divisie
PEC Zwolle,1269,Netherlands,Keuken Kampioen Divisie
FC Emmen,1283,Netherlands,Keuken Kampioen Divisie
Heracles Almelo,1304,Netherlands,Keuken Kampioen Divisie
VVV-Venlo,1426,Netherlands,Keuken Kampioen Divisie
De Graafschap Doetinchem,642,Netherlands,Keuken Kampioen Divisie
Helmond Sport,500,Netherlands,Keuken Kampioen Divisie
SC Telstar,1434,Netherlands,Keuken Kampioen Divisie
SC Veendam (- 2013),1284,Netherlands,Keuken Kampioen Divisie
Excelsior Rotterdam,798,Netherlands,Keuken Kampioen Divisie
NAC Breda,132,Netherlands,Keuken Kampioen Divisie
Real Zaragoza,142,Spain,LaLiga
Valencia CF,1049,Spain,LaLiga
RCD Espanyol Barcelona,714,Spain,LaLiga
Real Madrid,418,Spain,LaLiga
Cádiz CF,2687,Spain,LaLiga
FC Barcelona,131,Spain,LaLiga
Sporting Gijón,2448,Spain,LaLiga
CD Logroñés,236,Spain,LaLiga
Athletic Bilbao,621,Spain,LaLiga
Sevilla FC,368,Spain,LaLiga
Real Oviedo,2497,Spain,LaLiga
Atlético de Madrid,13,Spain,LaLiga
Real Sociedad,681,Spain,LaLiga
CA Osasuna,331,Spain,LaLiga
Rayo Vallecano,367,Spain,LaLiga
CD Tenerife,648,Spain,LaLiga
RCD Español,714,Spain,LaLiga
Deportivo de La Coruña,897,Spain,LaLiga
AD Rayo Vallecano,367,Spain,LaLiga
Celta de Vigo,940,Spain,LaLiga
Albacete Balompié,1532,Spain,LaLiga
Real Valladolid CF,366,Spain,LaLiga2
CE Sabadell FC,11422,Spain,LaLiga2
SD Compostela,2855,Spain,LaLiga2
UE Lleida (- 2011),3239,Spain,LaLiga2
Club Atlético Marbella (- 1997),42872,Spain,LaLiga2
CP Mérida,38011,Spain,LaLiga2
UE Figueres,42903,Spain,LaLiga2
RCD Mallorca,237,Spain,LaLiga2
Avezzano Calcio,4028,Italy,Lega Pro 2 - B
Rimini FC,4111,Italy,Lega Pro 2 - B
SL Benfica,294,Portugal,Liga Portugal
Sporting CP,336,Portugal,Liga Portugal
FC Famalicão,3329,Portugal,Liga Portugal
Gil Vicente FC,2424,Portugal,Liga Portugal
Rio Ave FC,2425,Portugal,Liga Portugal
Olympique Marseille,244,France,Ligue 1
Olympique Lyon,1041,France,Ligue 1
AS Monaco,162,Monaco,Ligue 1
FC Nantes,995,France,Ligue 1
Montpellier HSC,969,France,Ligue 1
RC Lens,826,France,Ligue 1
FC Metz,347,France,Ligue 1
AJ Auxerre,290,France,Ligue 1
Sporting Club de Toulon,494,France,Ligue 1
FC Sochaux-Montbéliard,750,France,Ligue 1
FC Toulouse,415,France,Ligue 1
Paris Saint-Germain,583,France,Ligue 1
SM Caen,1162,France,Ligue 1
RC Strasbourg Alsace,667,France,Ligue 1
AC Le Havre,738,France,Ligue 1
FC Girondins Bordeaux,40,France,Ligue 1
AS Saint-Étienne,618,France,Ligue 1
LOSC Lille,1082,France,Ligue 1
AS Monaco,162,France,Ligue 1
Nîmes Olympique,1160,France,Ligue 1
US Valenciennes-Anzin Arrondissement,1423,France,Ligue 1
Sporting Club de Toulon et du Var,494,France,Ligue 1
Stade Rennais FC,273,France,Ligue 2
CS Sedan-Ardennes,1081,France,Ligue 2
AS Cannes,895,France,Ligue 2
LB Châteauroux,1175,France,Ligue 2
AS Nancy-Lorraine,1159,France,Ligue 2
FC Martigues,1165,France,Ligue 2
Tours FC,3161,France,Ligue 2
FC Annecy,30204,France,Ligue 2
OGC Nice,417,France,Ligue 2
Canet Roussillon FC,8950,France,Ligue 2
FC Gueugnon,1397,France,Ligue 2
Red Star FC,1154,France,Ligue 2
FC Lorient,1158,France,Ligue 2
Istres Football Club,2580,France,Ligue 2
La Roche Vendée Football,3541,France,Ligue 2
USL Dunkerque,9202,France,Ligue 2
Bourges 18 (- 2021),3549,France,Ligue 2
Louhans-Cuiseaux FC,619,France,Ligue 2
Angers SCO,1420,France,Ligue 2
Olympique Alès,2618,France,Ligue 2
Rodez AF,11273,France,Ligue 2
Budapest Honvéd FC,709,Hungary,NB I.
Vác FC,213,Hungary,NB I.
Újpest FC,708,Hungary,NB I.
ETO FC Győr ,6055,Hungary,NB I.
Nyíregyháza Spartacus,6058,Hungary,NB I.
BFC Dynamo,222,Germany,NOFV-Oberliga Nord
FC Augsburg,167,Germany,Oberliga Bayern
SV Viktoria Aschaffenburg,565,Germany,Oberliga Hessen
SV Wehen Wiesbaden,108,Germany,Oberliga Hessen
SV Lurup,1240,Germany,Oberliga Nord
Alemannia Aachen,8,Germany,Oberliga Nordrhein
Preußen Krefeld,4124,Germany,Oberliga Nordrhein
Leeds United,399,England,Premier League
Aston Villa,405,England,Premier League
Everton FC,29,England,Premier League
Arsenal FC,11,England,Premier League
Blackburn Rovers,164,England,Premier League
Southampton FC,180,England,Premier League
Liverpool FC,31,England,Premier League
Chelsea FC,631,England,Premier League
Tottenham Hotspur,148,England,Premier League
Manchester United,985,England,Premier League
Norwich City,1123,England,Premier League
Crystal Palace,873,England,Premier League
Nottingham Forest,703,England,Premier League
Middlesbrough FC,641,England,Premier League
Coventry City,990,England,Premier League
Manchester City,281,England,Premier League
Oldham Athletic,1078,England,Premier League
Milton Keynes Dons,991,England,Premier League
Sheffield Wednesday,1035,England,Premier League
Sheffield United,350,England,Premier League
Ipswich Town,677,England,Premier League
CSKA Moscow,2410,Russia,Premier Liga
Dynamo Kyiv,338,Ukraine,Premier Liga
Dynamo Moscow,121,Russia,Premier Liga
Shakhtar Donetsk,660,Ukraine,Premier Liga
Chornomorets Odessa,6992,Ukraine,Premier Liga
Lokomotiv Moscow,932,Russia,Premier Liga
Rotor Volgograd,3609,Russia,Premier Liga
Ural Yekaterinburg,11127,Russia,Premier Liga
Krylya Sovetov Samara,2696,Russia,Premier Liga
Zorya Lugansk,10690,Ukraine,Premier Liga
Nyva Ternopil,2712,Ukraine,Premier Liga
Lokomotiv Nizhniy Novgorod,2693,Russia,Premier Liga
Torpedo Moscow,1186,Russia,Premier Liga
SK Tavriya Simferopol,2227,Ukraine,Premier Liga
Asmaral Moscow (- 2006),12042,Russia,Premier Liga
Spartak Moscow,232,Russia,Premier Liga
Spartak Vladikavkaz (-2020),2703,Russia,Premier Liga
Dnipro Dnipropetrovsk (-2020),339,Ukraine,Premier Liga
Ocean Nakhodka,12058,Russia,Premier Liga
Zenit St. Petersburg,964,Russia,Premier Liga
FK Tyumen,12054,Russia,Premier Liga
Metalurg Zaporizhya (-2016),6994,Ukraine,Premier Liga
NK Veres Rivne,26459,Ukraine,Premier Liga
Kuban Krasnodar (-2018),2439,Russia,Premier Liga
KamAZ Naberezhnye Chelny,3243,Russia,Premier Liga
Dinamo Stavropol,12045,Russia,Premier Liga
Dinamo Moscow,121,Russia,Premier Liga
Tekstilshchik Kamyshin,12435,Russia,Premier Liga
Spartak Vladikavkaz,2703,Russia,Premier Liga
Torpedo Moskau,1186,Russia,Premier Liga
Uralmash Ekaterinburg,11127,Russia,Premier Liga
Zhemchuzhina Sochi,6441,Russia,Premier Liga
Rostselmash Rostov,1083,Russia,Premier Liga
ACF Fiorentina,430,Italy,Serie A
Inter Milan,46,Italy,Serie A
SS Lazio,398,Italy,Serie A
AS Roma,12,Italy,Serie A
UC Sampdoria,1038,Italy,Serie A
SSC Napoli,6195,Italy,Serie A
Torino FC,416,Italy,Serie A
Genoa CFC,252,Italy,Serie A
Atalanta BC,800,Italy,Serie A
Brescia Calcio,19,Italy,Serie A
Juventus FC,506,Italy,Serie A
Calcio Foggia 1920,704,Italy,Serie A
Cagliari Calcio,1390,Italy,Serie A
Udinese Calcio,410,Italy,Serie A
US Ancona,1388,Italy,Serie A
AC Milan,5,Italy,Serie A
Parma FC,130,Italy,Serie A
Delfino Pescara 1936,2921,Italy,Serie A
FC Internazionale,46,Italy,Serie A
Foggia Calcio,704,Italy,Serie A
Genoa 1893,252,Italy,Serie A
Pisa Sporting Club,4172,Italy,Serie B
US Lecce,1005,Italy,Serie B
AS Bari,332,Italy,Serie B
Taranto FC 1927,4093,Italy,Serie B
Venezia FC,607,Italy,Serie B
Bologna FC 1909,1025,Italy,Serie B
Modena FC,1385,Italy,Serie B
Ascoli Calcio,408,Italy,Serie B
Cosenza Calcio,4031,Italy,Serie B
Ternana Calcio,1103,Italy,Serie B
AC Reggiana,5621,Italy,Serie B
Hellas Verona,276,Italy,Serie B
Lucchese 1905,1253,Italy,Serie B
US Cremonese,2239,Italy,Serie B
AC Monza,2919,Italy,Serie B
Piacenza Calcio 1919,1408,Italy,Serie B
LR Vicenza,2655,Italy,Serie C - A
AS Sambenedettese,4330,Italy,Serie C - A
Como Calcio,1047,Italy,Serie C - A
Spezia Calcio,3522,Italy,Serie C - A
Pro Sesto 1913,2254,Italy,Serie C - A
Società Calcio Leffe,25265,Italy,Serie C - A
Pro Palazzolo,4552,Italy,Serie C - A
US Massese 1919,4113,Italy,Serie C - A
SSD Ischia Calcio,22330,Italy,Serie C - B
Casertana FC,4106,Italy,Serie C - B
Barletta 1922,5585,Italy,Serie C - B
US Salernitana,380,Italy,Serie C - B
Reggina Calcio,1386,Italy,Serie C - B
Palermo FC,458,Italy,Serie C - B
AS Lodigiani,4086,Italy,Serie C - B
Catania SSD,1627,Italy,Serie C - B
US Avellino 1912,2331,Italy,Serie C - B
Chieti Calcio,5543,Italy,Serie C - B
FC Lausanne-Sport,527,Switzerland,Super League
FC Sion,321,Switzerland,Super League
Olympiacos Piraeus,683,Greece,Super League 1
Bröndby IF,206,Denmark,Superligaen
Lyngby BK,369,Denmark,Superligaen
FC Copenhagen,190,Denmark,Superligaen
Aalborg BK,1053,Denmark,Superligaen
Galatasaray,141,Turkey,Süper Lig
Bursaspor,20,Turkey,Süper Lig
Genclerbirligi Ankara,820,Turkey,Süper Lig
Aydinspor,45468,Turkey,Süper Lig
Altay SK,2375,Turkey,Süper Lig
Karsiyaka,2330,Turkey,Süper Lig
Konyaspor,2293,Turkey,Süper Lig
Kayseri Erciyesspor,6894,Turkey,Süper Lig
Gaziantepspor,524,Turkey,Süper Lig
Fenerbahce,36,Turkey,Süper Lig
Trabzonspor,449,Turkey,Süper Lig
Besiktas JK,114,Turkey,Süper Lig
MKE Ankaragücü,868,Turkey,Süper Lig
Sariyer,518,Turkey,Süper Lig
Bakirköyspor,3202,Turkey,Süper Lig
Kocaelispor,120,Turkey,Süper Lig
CA Boca Juniors,189,Argentina,Torneo Inicial
Club Atlético Platense,928,Argentina,Torneo Inicial
CA Vélez Sarsfield,1029,Argentina,Torneo Inicial
Racing Club,1444,Argentina,Torneo Inicial
Myllykosken Pallo -47,2688,Finland,Veikkausliiga
Dnepr Mogilev,4394,Belarus,Vysheyshaya Liga
Dinamo Minsk,1180,Belarus,Vysheyshaya Liga
Rechitsa 2014 (- 2019),24202,Belarus,Vysheyshaya Liga
Torpedo Mogilev (- 2016) ,33854,Belarus,Vysheyshaya Liga
Asmaral Moscow (- 2006),12042,Russia,1.Division
FK Rostov,1083,Russia,1.Division
Tekstilshchik Ivanovo,11125,Russia,1.Division
Zvezda Perm ( -2022),6434,Russia,1.Division
Ocean Nakhodka,12058,Russia,1.Division
Druzhba Maikop,12048,Russia,1.Division
Luch Vladivostok,4057,Russia,1.Division
FK Krasnoznamensk,15121,Russia,1.Division
Sokol Saratov,3834,Russia,1.Division
Bakirköyspor,3202,Turkey,1.Lig
Sakaryaspor,2463,Turkey,1.Lig
Basaksehir FK,6890,Turkey,1.Lig
Kartalspor,1204,Turkey,1.Lig
Aydinspor,45468,Turkey,1.Lig
Konyaspor,2293,Turkey,1.Lig
Malatyaspor,1264,Turkey,1.Lig
Denizlispor,833,Turkey,1.Lig
Vanspor,40181,Turkey,1.Lig
Hatayspor,7775,Turkey,1.Lig
Ayvalikgücü Belediyespor,39798,Turkey,1.Lig
Fener Spor,45132,Turkey,1.Lig
Corumspor,20681,Turkey,1.Lig
Petrolofisi,23766,Turkey,1.Lig
Mersin Talimyurdu SK,3216,Turkey,1.Lig
Eyüpspor,7160,Turkey,1.Lig
Rot-Weiss Essen,56,Germany,2. Bundesliga
KFC Uerdingen 05,95,Germany,2. Bundesliga
1.FC Saarbrücken,1,Germany,2. Bundesliga
VfL Bochum,80,Germany,2. Bundesliga
Chemnitzer FC,21,Germany,2. Bundesliga
Grazer AK 1902,316,Austria,2. Liga
CD Basconia,6665,Spain,2ª B - Grupo II
CA Osasuna Promesas,8516,Spain,2ª B - Grupo II
Real Valladolid Promesas,7078,Spain,2ª B - Grupo II
UE Figueres,42903,Spain,2ª B - Grupo III
AEC Manlleu,25739,Spain,2ª B - Grupo III
Trabzon Telekomspor,73637,Turkey,3.Lig Grup 2
Caykur Rizespor,126,Turkey,3.Lig Grup 2
Kahramanmarasspor,12452,Turkey,3.Lig Grup 3
Silifkespor,46627,Turkey,3.Lig Grup 3
Ankara Emniyetspor,74456,Turkey,3.Lig Grup 4
Africa Sports,2936,Cote d'Ivoire,Africa Sports
SK Vorwärts Steyr,1521,Austria,Bundesliga
FC Admira Wacker Mödling,503,Austria,Bundesliga
Austria Vienna,14,Austria,Bundesliga
VfB Leipzig (- 2004),10848,Germany,Bundesliga
MSV Duisburg,52,Germany,Bundesliga
VfB Mödling,25598,Austria,Bundesliga
SC Freiburg,60,Germany,Bundesliga
Wisla Kraków,422,Poland,Ekstraklasa
Górnik Zabrze,428,Poland,Ekstraklasa
Polonia Warsaw,2745,Poland,Ekstraklasa
Legia Warszawa,255,Poland,Ekstraklasa
Viking FK,239,Norway,Eliteserien
Molde FK,687,Norway,Eliteserien
SK Brann,1100,Norway,Eliteserien
Go Ahead Eagles,1435,Netherlands,Eredivisie
NAC Breda,132,Netherlands,Eredivisie
VVV-Venlo,1426,Netherlands,Eredivisie
SC Heerenveen,306,Netherlands,Eredivisie
Slovan Bratislava,540,Slovakia,Fortuna Liga
Tokyo Verdy,3734,Japan,J1 - 2nd Stage
KFC Lommel SK (- 2003),718,Belgium,Jupiler Pro League
KRC Genk,1184,Belgium,Jupiler Pro League
RFC Seraing (- 1996),54426,Belgium,Jupiler Pro League
Pohang Steelers,311,"Korea, South",K League 1
Busan IPark,2582,"Korea, South",K League 1
HFC Haarlem (- 2009),643,Netherlands,Keuken Kampioen Divisie
Fortuna Sittard,385,Netherlands,Keuken Kampioen Divisie
FC Den Bosch,404,Netherlands,Keuken Kampioen Divisie
ADO Den Haag,1268,Netherlands,Keuken Kampioen Divisie
TOP Oss,1228,Netherlands,Keuken Kampioen Divisie
FC Dordrecht,1455,Netherlands,Keuken Kampioen Divisie
NEC Nijmegen,467,Netherlands,Keuken Kampioen Divisie
Real Valladolid CF,366,Spain,LaLiga
Racing Santander,630,Spain,LaLiga
UE Lleida,3239,Spain,LaLiga
Real Valladolid Deportivo,366,Spain,LaLiga
Cádiz CF,2687,Spain,LaLiga2
CD Badajoz,2923,Spain,LaLiga2
RCD Espanyol Barcelona,714,Spain,LaLiga2
Hércules CF,7971,Spain,LaLiga2
CD Toledo,2929,Spain,LaLiga2
Real Murcia CF,171,Spain,LaLiga2
CD Castellón,2502,Spain,LaLiga2
Palamós CF,10744,Spain,LaLiga2
Alma Juventus Fano 1906,5615,Italy,Lega Pro 2 - B
ASD Vastese Calcio 1902,7409,Italy,Lega Pro 2 - B
AC Sporting Cecina,27001,Italy,Lega Pro 2 - B
Boavista FC,2503,Portugal,Liga Portugal
CF Estrela Amadora SAD,2431,Portugal,Liga Portugal
Vitória Guimarães SC,2420,Portugal,Liga Portugal
SC Braga,1075,Portugal,Liga Portugal
SC Salgueiros,2434,Portugal,Liga Portugal
FC Paços de Ferreira,2995,Portugal,Liga Portugal
CS Marítimo,1301,Portugal,Liga Portugal
FC Porto,720,Portugal,Liga Portugal
SC Beira-Mar,1436,Portugal,Liga Portugal
CF Os Belenenses,68608,Portugal,Liga Portugal
GD Estoril Praia,1465,Portugal,Liga Portugal
Hapoel Haifa,810,Israel,Ligat ha'Al
Hapoel Tel Aviv,1017,Israel,Ligat ha'Al
FC Martigues,1165,France,Ligue 1
Angers SCO,1420,France,Ligue 1
AS Cannes,895,France,Ligue 1
Nîmes Olympique,1160,France,Ligue 2
Valenciennes FC,1423,France,Ligue 2
AS Beauvais Oise,3135,France,Ligue 2
Chamois Niortais FC,1161,France,Ligue 2
FC Mulhouse,1774,France,Ligue 2
Le Mans FC,1164,France,Ligue 2
Ferencvárosi TC,279,Hungary,NB I.
Vasas FC,5378,Hungary,NB I.
MTK Budapest,634,Hungary,NB I.
FC Stahl Brandenburg,685,Germany,NOFV-Oberliga Nord
SpVgg Unterhaching,66,Germany,Oberliga Bayern
FC Starnberg,495,Germany,Oberliga Bayern
FC Hessen Kassel (- 1998),38969,Germany,Oberliga Hessen
SV Eintracht Haiger (- 2003),19596,Germany,Oberliga Hessen
SC Borussia Fulda,597,Germany,Oberliga Hessen
SV Darmstadt 98,105,Germany,Oberliga Hessen
VfL Osnabrück,81,Germany,Oberliga Nord
Fortuna Düsseldorf,38,Germany,Oberliga Nordrhein
1.FC Bocholt,392,Germany,Oberliga Nordrhein
West Ham United,379,England,Premier League
Newcastle United,762,England,Premier League
Swindon Town,352,England,Premier League
Queens Park Rangers,1039,England,Premier League
Metalist Kharkiv (- 2016),6414,Ukraine,Premier Liga
FK Rostov,1083,Russia,Premier Liga
Lada Togliatti,2705,Russia,Premier Liga
Dinamo-Gazovik Tyumen,12054,Russia,Premier Liga
US Lecce,1005,Italy,Serie A
AC Reggiana,5621,Italy,Serie A
US Cremonese,2239,Italy,Serie A
Piacenza FC,1408,Italy,Serie A
Delfino Pescara 1936,2921,Italy,Serie B
ACF Fiorentina,430,Italy,Serie B
Calcio Padova,3037,Italy,Serie B
Ravenna FC,1105,Italy,Serie B
Brescia Calcio,19,Italy,Serie B
Palermo FC,458,Italy,Serie B
US Ancona,1388,Italy,Serie B
AC Cesena,1429,Italy,Serie B
US Alessandria Calcio 1912,2721,Italy,Serie C - A
Bologna FC 1909,1025,Italy,Serie C - A
US Fiorenzuola 1922,4163,Italy,Serie C - A
SPAL,2722,Italy,Serie C - A
FC Empoli,749,Italy,Serie C - A
Chievo Verona,862,Italy,Serie C - A
AC Siena,1387,Italy,Serie C - B
FC Aarau,116,Switzerland,Super League
Grasshopper Club Zurich,504,Switzerland,Super League
BSC Young Boys,452,Switzerland,Super League
OFI Crete FC,653,Greece,Super League 1
Doxa Dramas,3706,Greece,Super League 1
Silkeborg IF,1177,Denmark,Superligaen
Aarhus GF,678,Denmark,Superligaen
Odense Boldklub,173,Denmark,Superligaen
Naestved Boldklub,5091,Denmark,Superligaen
Samsunspor,152,Turkey,Süper Lig
Zeytinburnuspor,5745,Turkey,Süper Lig
DC Karabükspor,1506,Turkey,Süper Lig
CA River Plate,209,Argentina,Torneo Inicial
FC Haka,1225,Finland,Veikkausliiga
FK Stariye Dorogi,34004,Belarus,Vysheyshaya Liga
Shakhter Soligorsk,10695,Belarus,Vysheyshaya Liga
Dinamo Stavropol,12045,Russia,1.Division
Torpedo Arzamas,20835,Russia,1.Division
Lada Togliatti,2705,Russia,1.Division
Kardemir Karabükspor,1506,Turkey,1.Lig
Turgutluspor,1508,Turkey,1.Lig
Edirnespor,22443,Turkey,1.Lig
Kemerspor,2748,Turkey,1.Lig
Sariyer,518,Turkey,1.Lig
Sekerspor,5743,Turkey,1.Lig
Karsiyaka,2330,Turkey,1.Lig
Yeni Sincanspor,23828,Turkey,1.Lig
Silifkespor,46627,Turkey,1.Lig
Düzcespor,20333,Turkey,1.Lig
Dardanelspor,1507,Turkey,1.Lig
Corluspor,20707,Turkey,1.Lig
Eskisehirspor,825,Turkey,1.Lig
1.FC Nuremberg,4,Germany,2. Bundesliga
FC St. Pauli,35,Germany,2. Bundesliga
SG Wattenscheid 09,97,Germany,2. Bundesliga
SC Fortuna Köln,92,Germany,2. Bundesliga
Hannover 96,42,Germany,2. Bundesliga
Gimnástica Torrelavega,12588,Spain,2ª B - Grupo II
UDA Gramenet,8678,Spain,2ª B - Grupo III
Córdoba CF,993,Spain,2ª B - Grupo IV
Real Jaén CF,666,Spain,2ª B - Grupo IV
Ünyespor,11110,Turkey,3.Lig Grup 2
